tab	render_function	line	field_path	expected_type	expected_non_empty	current_producer_skill	current_producer_line	validator_check	status	fix_layer	fix_note
national-canada	_renderNatEnrichmentCards	2677	metrics.residential_permits	string	no	tldr-analyst-macro	192	metrics.residential_permits:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (gap — analyst not emitting)
national-canada	_renderNatEnrichmentCards	2678	metrics.nonresidential_permits	string	no	tldr-analyst-macro	192	metrics.nonresidential_permits:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (gap — analyst not emitting)
national-canada	_renderNatEnrichmentCards	2681	metrics.merchandise_exports	string	no	tldr-analyst-macro	192	metrics.merchandise_exports:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2682	metrics.merchandise_imports	string	no	tldr-analyst-macro	192	metrics.merchandise_imports:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2683	metrics.tradeBalance	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderNatEnrichmentCards	2689	jobs.json:spikes	array<object>	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	job_monitor output freshness check
national-canada	_renderNatEnrichmentCards	2697	procurement.json:awards	array<object>	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	procurement_monitor freshness check
national-canada	renderInteractiveMap	1203	key_indicators	array<object>	no	tldr-analyst-macro	155	MISSING	validator-missing	schema	add length+type check to validator
national-canada	renderInteractiveMap	1205	indicatorMeta	object	yes	tldr-analyst-macro	200	top_level.indicatorMeta:L158	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2705	global	array<object>	yes	tldr-writer-macro	430	top_level.global:L158,count.global:L175	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2712	global[i].region	string	yes	tldr-writer-macro	-	MISSING	validator-missing	schema	add global[i].region required check to validator
national-us	_renderGlobalSubtab	2713	global[i].analysis	string	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-us	_renderGlobalSubtab	2713	global[i].indicators	object	yes	tldr-analyst-macro	-	global.{region}.indicators.{key}:L263	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicators.gdp	string	yes	tldr-analyst-macro	-	global.{region}.indicators.gdp:L264	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicators.cpi	string	yes	tldr-analyst-macro	-	global.{region}.indicators.cpi:L264	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicators.rate	string	yes	tldr-analyst-macro	-	global.{region}.indicators.rate:L264	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicators.unemployment	string	yes	tldr-analyst-macro	-	global.{region}.indicators.unemployment:L264	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicators.tradeBalance	string	yes	tldr-analyst-macro	-	global.{region}.indicators.tradeBalance:L264	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2713	global[i].indicatorMeta	object	yes	tldr-analyst-macro	-	global.{region}.indicatorMeta.{key}:L268	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2719	global[i].indicatorMeta[key].period	string	no	tldr-analyst-macro	-	MISSING	frontend-fallback-only	defer	optional indicator meta sub-field; keep fallback
national-us	_renderGlobalSubtab	2720	global[i].indicatorMeta[key].change	string	yes	tldr-analyst-macro	-	global.{region}.indicatorMeta.{key}:L268	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2721	global[i].indicatorMeta[key].nextRelease	string	no	tldr-analyst-macro	-	MISSING	frontend-fallback-only	defer	optional indicator meta sub-field; keep fallback
national-us	_renderGlobalSubtab	2727	global[i].chart_callout	string	yes	tldr-charts	179	callout.global.{region}.chart_callout:L362	ok	none	no action — field present and validated
national-us	_renderGlobalSubtab	2725	global[i].sources	array<object>	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-us	_initGlobalInsightChart	2507	timeseries.json:sp500	array<object>	yes	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	timeseries build freshness + schema x-check
national-china	_renderGlobalSubtab	2705	global[i:china].analysis	string	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-china	_renderGlobalSubtab	2713	global[i:china].indicators.gdp	string	yes	tldr-analyst-macro	-	global.China.indicators.gdp:L264	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2713	global[i:china].indicators.cpi	string	yes	tldr-analyst-macro	-	global.China.indicators.cpi:L264	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2713	global[i:china].indicators.rate	string	yes	tldr-analyst-macro	-	global.China.indicators.rate:L264	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2713	global[i:china].indicators.unemployment	string	yes	tldr-analyst-macro	-	global.China.indicators.unemployment:L264	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2713	global[i:china].indicators.tradeBalance	string	yes	tldr-analyst-macro	-	global.China.indicators.tradeBalance:L264	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2727	global[i:china].chart_callout	string	yes	tldr-charts	184	callout.global.China.chart_callout:L362	ok	none	no action — field present and validated
national-china	_renderGlobalSubtab	2725	global[i:china].sources	array<object>	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-china	_initGlobalInsightChart	2507	timeseries.json:china_pmi	array<object>	yes	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	timeseries build freshness + schema x-check
national-eu	_renderGlobalSubtab	2705	global[i:eu].analysis	string	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-eu	_renderGlobalSubtab	2713	global[i:eu].indicators.gdp	string	yes	tldr-analyst-macro	-	global.European Union.indicators.gdp:L264	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2713	global[i:eu].indicators.cpi	string	yes	tldr-analyst-macro	-	global.European Union.indicators.cpi:L264	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2713	global[i:eu].indicators.rate	string	yes	tldr-analyst-macro	-	global.European Union.indicators.rate:L264	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2713	global[i:eu].indicators.unemployment	string	yes	tldr-analyst-macro	-	global.European Union.indicators.unemployment:L264	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2713	global[i:eu].indicators.tradeBalance	string	yes	tldr-analyst-macro	-	global.European Union.indicators.tradeBalance:L264	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2727	global[i:eu].chart_callout	string	yes	tldr-charts	189	callout.global.European Union.chart_callout:L362	ok	none	no action — field present and validated
national-eu	_renderGlobalSubtab	2725	global[i:eu].sources	array<object>	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-eu	_initGlobalInsightChart	2507	timeseries.json:eurusd	array<object>	yes	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	timeseries build freshness + schema x-check
national-uk	_renderGlobalSubtab	2705	global[i:uk].analysis	string	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-uk	_renderGlobalSubtab	2713	global[i:uk].indicators.gdp	string	yes	tldr-analyst-macro	-	global.United Kingdom.indicators.gdp:L264	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2713	global[i:uk].indicators.cpi	string	yes	tldr-analyst-macro	-	global.United Kingdom.indicators.cpi:L264	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2713	global[i:uk].indicators.rate	string	yes	tldr-analyst-macro	-	global.United Kingdom.indicators.rate:L264	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2713	global[i:uk].indicators.unemployment	string	yes	tldr-analyst-macro	-	global.United Kingdom.indicators.unemployment:L264	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2713	global[i:uk].indicators.tradeBalance	string	yes	tldr-analyst-macro	-	global.United Kingdom.indicators.tradeBalance:L264	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2727	global[i:uk].chart_callout	string	yes	tldr-charts	194	callout.global.United Kingdom.chart_callout:L362	ok	none	no action — field present and validated
national-uk	_renderGlobalSubtab	2725	global[i:uk].sources	array<object>	yes	tldr-writer-macro	430	MISSING	validator-missing	schema	add global[i] analysis/sources check to validator
national-uk	_initGlobalInsightChart	2507	timeseries.json:ftse100	array<object>	yes	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	timeseries build freshness + schema x-check
provinces	_renderProvContent	3186	provinces	array<object>	yes	tldr-writer-provincial	420	top_level.provinces:L158,count.provinces:L175	ok	none	no action — field present and validated
provinces	_renderProvContent	3187	provinces[i].name	string	yes	tldr-writer-provincial	-	MISSING	validator-missing	schema	add province name required check to validator
provinces	_renderProvContent	3188	provinces[i].indicators	object	yes	tldr-writer-provincial	342	province.{name}.indicators:L302	ok	none	no action — field present and validated
provinces	_renderProvContent	3189	provinces[i].indicatorMeta	object	yes	tldr-writer-provincial	351	province.{name}.indicatorMeta:L302	ok	none	no action — field present and validated
provinces	_renderProvContent	3191	provinces[i].sources	array<object>	yes	tldr-writer-provincial	371	province.{name}.sources:L302	ok	none	no action — field present and validated
provinces	_renderProvContent	3369	provinces[i].analysis	string	yes	tldr-writer-provincial	370	province.{name}.analysis:L302	ok	none	no action — field present and validated
provinces	_renderProvContent	3370	provinces[i].consumerPulse	string	no	tldr-writer-provincial	380	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3371	provinces[i].sectorHighlights	string	no	tldr-writer-provincial	378	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3512	provinces[i].labourDeepDive	string	no	tldr-writer-provincial	379	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3529	provinces[i].marketContext	string	no	tldr-writer-provincial	-	province.{name}.marketContext:L302	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	1701	provinces[i].tradeExposure	string	no	tldr-writer-provincial	-	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3558	provinces[i].watchlistItems	array<object>	no	tldr-writer-provincial	-	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3586	provinces[i].insightCharts	array<object>	yes	tldr-charts	91	province.{name}.insightCharts:L302	ok	none	no action — field present and validated
provinces	_renderProvContent	3595	provinces[i].insightCharts[j].callout	string	yes	tldr-charts	105	callout.province.{name}.insightCharts[j]:L343	ok	none	no action — field present and validated
provinces	_renderProvContent	3595	provinces[i].insightCharts[j].dataKeys	array<string>	yes	tldr-charts	94	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
provinces	_renderProvContent	3595	provinces[i].insightCharts[j].chartType	string	yes	tldr-charts	93	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
provinces	_renderProvContent	3595	provinces[i].insightCharts[j].title	string	yes	tldr-charts	95	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
provinces	_renderProvContent	3595	provinces[i].insightCharts[j].subtitle	string	yes	tldr-charts	96	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
provinces	_renderProvContent	1776	provinces[i].insightCharts[j].eyebrow	string	no	tldr-charts	223	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
provinces	_renderProvContent	1771	provinces[i].insightCharts[j].kpis	array<object>	no	tldr-charts	224	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
provinces	_renderProvContent	1777	provinces[i].insightCharts[j].context	string	no	tldr-charts	225	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
provinces	_renderProvContent	1692	provinces[i].insightCharts[j].reasoning	string	no	tldr-charts	220	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
provinces	_renderProvContent	3237	provinces[i].projects	array<object>	no	tldr-writer-provincial	376	MISSING	validator-missing	schema	add province projects sub-schema check to validator
provinces	_renderProvContent	3237	provinces[i].projects[j].name	string	yes	tldr-writer-provincial	376	MISSING	validator-missing	schema	add province projects sub-schema check to validator
provinces	_renderProvContent	3237	provinces[i].projects[j].value	string	no	tldr-writer-provincial	376	MISSING	frontend-fallback-only	defer	optional project metadata; keep fallback
provinces	_renderProvContent	3237	provinces[i].projects[j].status	string	no	tldr-writer-provincial	376	MISSING	frontend-fallback-only	defer	optional project metadata; keep fallback
provinces	_renderProvContent	3237	provinces[i].projects[j].sector	string	no	tldr-writer-provincial	376	MISSING	frontend-fallback-only	defer	optional project metadata; keep fallback
provinces	_renderProvContent	3211	provinces[i].indicatorMeta[key].prev	string	no	tldr-writer-provincial	351	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3211	provinces[i].indicatorMeta[key].period	string	no	tldr-writer-provincial	351	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3228	provinces[i].indicatorMeta[key].change	string	no	tldr-writer-provincial	351	MISSING	frontend-fallback-only	skill	promote to required in tldr-writer-provincial
provinces	_renderProvContent	3275	provinces[i].indicators.gdp	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
provinces	_renderProvContent	3275	provinces[i].indicators.unemployment	string	yes	tldr-writer-provincial	342	MISSING	validator-missing	schema	add province indicators sub-key check to validator
provinces	_renderProvContent	3275	provinces[i].indicators.cpi	string	yes	tldr-writer-provincial	342	MISSING	validator-missing	schema	add province indicators sub-key check to validator
provinces	_renderProvContent	3275	provinces[i].indicators.employmentRate	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
provinces	_renderProvContent	3275	provinces[i].indicators.participationRate	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
provinces	_renderProvContent	3275	provinces[i].indicators.housingStarts	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
provinces	_renderProvContent	3275	provinces[i].indicators.buildingPermits	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
provinces	_renderProvContent	3275	provinces[i].indicators.wageGrowth	string	no	tldr-writer-provincial	342	MISSING	frontend-fallback-only	skill	promote to required across all 13 provinces
