sheet,scope,jurisdiction,sub_jurisdiction,industry_or_topic,entity_type,entity_name,office_or_role,current_holder,priority,why_it_matters,source_url,rss_url,notes
Provincial_Sources,provincial,NU,,Finance,Ministry,NU Department of Finance,Minister of Finance,,1,"Territorial budget, federal transfers",https://www.gov.nu.ca/finance,,
Provincial_Sources,provincial,NU,,Economic Development,Ministry,NU Department of Economic Development and Transportation,Minister of EDT,,2,"Mining, fisheries, Inuit economic development",https://www.gov.nu.ca/economic-development-and-transportation,,
Provincial_Sources,provincial,NU,,Government,RSS Feed,Nunavut News RSS,Government News,,2,Nunavut government releases,https://www.gov.nu.ca/news,,
CMA_Watchlist,municipal,BC,Vancouver,All,CMA,Vancouver,,,1,"Largest metro in Western Canada, major port, tech hub, housing crisis epicentre",https://www.vancouver.ca,,"Pop ~2.6M"
CMA_Watchlist,municipal,BC,Victoria,All,CMA,Victoria,,,2,"Provincial capital, tech sector, military base",https://www.victoria.ca,,"Pop ~400K"
CMA_Watchlist,municipal,BC,Kelowna,All,CMA,Kelowna,,,3,"Fast-growing, tech/agriculture/tourism",https://www.kelowna.ca,,"Pop ~220K"
CMA_Watchlist,municipal,BC,Abbotsford-Mission,All,CMA,Abbotsford-Mission,,,3,"Agriculture hub, flood risk area",https://www.abbotsford.ca,,"Pop ~200K"
CMA_Watchlist,municipal,BC,Nanaimo,All,CMA,Nanaimo,,,3,"Resource sector, ferry terminal, retirement",https://www.nanaimo.ca,,"Pop ~115K"
CMA_Watchlist,municipal,AB,Calgary,All,CMA,Calgary,,,1,"Energy HQ, fastest-growing major CMA, diversifying economy",https://www.calgary.ca,,"Pop ~1.6M"
CMA_Watchlist,municipal,AB,Edmonton,All,CMA,Edmonton,,,1,"Provincial capital, petrochemicals, logistics hub",https://www.edmonton.ca,,"Pop ~1.5M"
CMA_Watchlist,municipal,SK,Saskatoon,All,CMA,Saskatoon,,,2,"Potash/uranium mining hub, innovation corridor",https://www.saskatoon.ca,,"Pop ~330K"
CMA_Watchlist,municipal,SK,Regina,All,CMA,Regina,,,2,"Provincial capital, agriculture/energy services",https://www.regina.ca,,"Pop ~260K"
CMA_Watchlist,municipal,MB,Winnipeg,All,CMA,Winnipeg,,,2,"Transportation hub, manufacturing, aerospace",https://www.winnipeg.ca,,"Pop ~830K"
CMA_Watchlist,municipal,ON,Toronto,All,CMA,Toronto,,,1,"Canada's financial capital, largest CMA, major immigration destination",https://www.toronto.ca,,"Pop ~6.2M"
CMA_Watchlist,municipal,ON,Ottawa-Gatineau,All,CMA,Ottawa-Gatineau,,,1,"National capital, federal government hub, tech sector",https://www.ottawa.ca,,"Pop ~1.5M; cross-provincial"
CMA_Watchlist,municipal,ON,Hamilton,All,CMA,Hamilton,,,2,"Steel/manufacturing, healthcare, growing tech",https://www.hamilton.ca,,"Pop ~780K"
CMA_Watchlist,municipal,ON,Kitchener-Cambridge-Waterloo,All,CMA,Kitchener-Cambridge-Waterloo,,,2,"Tech triangle, manufacturing, universities",https://www.kitchener.ca,,"Pop ~600K"
CMA_Watchlist,municipal,ON,London,All,CMA,London,,,2,"Insurance/finance hub, healthcare, Western U",https://www.london.ca,,"Pop ~540K"
CMA_Watchlist,municipal,ON,Windsor,All,CMA,Windsor,,,2,"Auto manufacturing, cross-border trade, Gordie Howe Bridge",https://www.citywindsor.ca,,"Pop ~420K"
CMA_Watchlist,municipal,ON,St. Catharines-Niagara,All,CMA,St. Catharines-Niagara,,,3,"Tourism, wine region, manufacturing",https://www.stcatharines.ca,,"Pop ~410K"
CMA_Watchlist,municipal,ON,Oshawa,All,CMA,Oshawa,,,3,"Auto manufacturing (GM), logistics",https://www.oshawa.ca,,"Pop ~410K"
CMA_Watchlist,municipal,ON,Barrie,All,CMA,Barrie,,,3,"Fast-growing, commuter corridor, military base",https://www.barrie.ca,,"Pop ~210K"
CMA_Watchlist,municipal,ON,Guelph,All,CMA,Guelph,,,3,"Agri-food innovation, manufacturing, university",https://www.guelph.ca,,"Pop ~170K"
CMA_Watchlist,municipal,ON,Brantford,All,CMA,Brantford,,,3,"Manufacturing, growing commuter base",https://www.brantford.ca,,"Pop ~140K"
CMA_Watchlist,municipal,QC,Montreal,All,CMA,Montreal,,,1,"Second-largest CMA, aerospace/AI hub, pharmaceutical sector",https://www.montreal.ca,,"Pop ~4.3M"
CMA_Watchlist,municipal,QC,Quebec City,All,CMA,Quebec City,,,2,"Provincial capital, insurance/tech, defence procurement",https://www.ville.quebec.qc.ca,,"Pop ~830K"
CMA_Watchlist,municipal,QC,Sherbrooke,All,CMA,Sherbrooke,,,3,"University hub, manufacturing",https://www.sherbrooke.ca,,"Pop ~230K"
CMA_Watchlist,municipal,QC,Saguenay,All,CMA,Saguenay,,,3,"Aluminum smelting, hydroelectric, forestry",https://www.ville.saguenay.ca,,"Pop ~160K"
CMA_Watchlist,municipal,QC,Trois-Rivieres,All,CMA,Trois-Rivieres,,,3,"Pulp/paper, energy, manufacturing",https://www.v3r.net,,"Pop ~160K"
CMA_Watchlist,municipal,NB,Moncton,All,CMA,Moncton,,,3,"Bilingual services hub, logistics, call centres",https://www.moncton.ca,,"Pop ~170K"
CMA_Watchlist,municipal,NB,Saint John,All,CMA,Saint John,,,3,"Irving refinery, port city, manufacturing",https://www.saintjohn.ca,,"Pop ~130K"
CMA_Watchlist,municipal,NS,Halifax,All,CMA,Halifax,,,2,"Atlantic Canada's largest city, military, ocean tech, immigration hub",https://www.halifax.ca,,"Pop ~470K"
CMA_Watchlist,municipal,NL,St. John's,All,CMA,St. John's,,,2,"Offshore oil/gas hub, ocean technology",https://www.stjohns.ca,,"Pop ~210K"
Industry_Sources,federal,Canada,,NAICS 23/48-49,Federal Department,Transport Canada,Minister of Transport,,1,"Transportation safety, infrastructure, modal policy",https://tc.canada.ca,,
Industry_Sources,federal,Canada,,NAICS 21/22,Federal Department,Natural Resources Canada (NRCan),Minister of Energy and Natural Resources,,1,"Energy policy, mining, forestry, geoscience",https://natural-resources.canada.ca,,
Industry_Sources,federal,Canada,,NAICS 31-33/51/54,Federal Department,"Innovation, Science and Economic Development (ISED)",Minister of Industry,,1,"Innovation policy, spectrum, SME support, competition",https://ised-isde.canada.ca,,
Industry_Sources,federal,Canada,,NAICS 23/48-49,Federal Department,Infrastructure Canada,Minister of Housing/Infrastructure,,1,"Major infrastructure investment, transit, broadband",https://infrastructure.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 91,Federal Department,Department of National Defence (DND),Minister of National Defence,,1,"Defence procurement, shipbuilding, military infrastructure",https://canada.ca/en/department-national-defence,,
Industry_Sources,federal,Canada,,All NAICS,Federal Department,Public Services and Procurement Canada (PSPC),Minister of PSPC,,1,"Federal procurement, CanadaBuys, government contracts",https://canada.ca/en/public-services-procurement,,
Industry_Sources,federal,Canada,,NAICS 21/22/48-49,Federal Agency,Canada Energy Regulator (CER),CEO,,1,"Pipeline/powerline approvals, energy exports, safety",https://cer-rec.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 11,Federal Department,"Agriculture and Agri-Food Canada (AAFC)",Minister of Agriculture,,2,"Farm policy, trade, food safety, AgriInvest",https://agriculture.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 11,Federal Department,Fisheries and Oceans Canada (DFO),Minister of Fisheries/Oceans,,2,"Fisheries management, aquaculture, marine protection",https://dfo-mpo.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 62,Federal Department,Health Canada,Minister of Health,,2,"Drug approvals, medical devices, cannabis regulation",https://canada.ca/en/health-canada,,
Industry_Sources,federal,Canada,,NAICS 22/56,Federal Department,Environment and Climate Change Canada (ECCC),Minister of ECCC,,2,"Carbon pricing, environmental regulation, climate targets",https://canada.ca/en/environment-climate-change,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Department,Department of Finance Canada,Minister of Finance,,1,"Fiscal policy, tax law, federal budget, debt management",https://canada.ca/en/department-finance,,
Industry_Sources,federal,Canada,,All NAICS,Federal Department,"Crown-Indigenous Relations and Northern Affairs (CIRNAC)",Minister of CIRNAC,,2,"Indigenous economic development, land claims, northern policy",https://canada.ca/en/crown-indigenous-relations-northern-affairs,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Impact Assessment Agency of Canada (IAAC),President,,1,"Environmental/impact assessments for major projects",https://iaac-aeic.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 53,Federal Agency,Canada Mortgage and Housing Corporation (CMHC),CEO,,1,"Housing starts, mortgage insurance, housing policy research",https://cmhc-schl.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Agency,Office of the Superintendent of Financial Institutions (OSFI),Superintendent,,2,"Bank/insurer regulation, capital requirements, systemic risk",https://osfi-bsif.gc.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Statistics Canada (StatCan),Chief Statistician,,1,"GDP, CPI, labour force, trade data, census",https://statcan.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Agency,Bank of Canada (BoC),Governor,,1,"Monetary policy, interest rates, financial stability, inflation targeting",https://bankofcanada.ca,,
Industry_Sources,federal,Canada,,NAICS 51,Federal Agency,"Canadian Radio-television and Telecommunications Commission (CRTC)",Chairperson,,2,"Telecom/broadcast regulation, spectrum, net neutrality",https://crtc.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 48-49,Federal Agency,Canadian Transportation Agency (CTA),Chairperson,,2,"Air passenger rights, rail/marine disputes, accessibility",https://otc-cta.gc.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Competition Bureau Canada,Commissioner,,2,"Merger review, anti-competitive practices, market studies",https://competition-bureau.canada.ca,,
Industry_Sources,federal,Canada,,NAICS 54,Federal Agency,National Research Council Canada (NRC),President,,2,"R&D, IRAP funding, industrial research partnerships",https://nrc.canada.ca,,
Industry_Sources,federal,Canada,,NAICS 61,Federal Department,"Immigration, Refugees and Citizenship Canada (IRCC)",Minister of Immigration,,3,"Immigration levels, work permits, labour market impact",https://canada.ca/en/immigration-refugees-citizenship,,
Industry_Sources,federal,Canada,,NAICS 62,Federal Agency,Public Health Agency of Canada (PHAC),President,,3,"Public health surveillance, pandemic preparedness",https://canada.ca/en/public-health,,
Industry_Sources,federal,Canada,,NAICS 51/71,Federal Department,Canadian Heritage,Minister of Canadian Heritage,,3,"Cultural industries, broadcasting, arts funding",https://canada.ca/en/canadian-heritage,,
Industry_Sources,federal,Canada,,NAICS 61,Federal Department,Employment and Social Development Canada (ESDC),Minister of ESDC,,3,"Labour standards, EI, skills training, CPP",https://canada.ca/en/employment-social-development,,
Industry_Sources,federal,Canada,,NAICS 72,Federal Agency,Destination Canada,CEO,,3,"Tourism marketing, visitor economy data",https://destinationcanada.com,,
Industry_Sources,federal,Canada,,NAICS 62,Federal Agency,Canadian Institute for Health Information (CIHI),President/CEO,,3,"Health system data, hospital spending, wait times",https://cihi.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,SEDAR+,Administrator,,2,"Public company filings, prospectuses, continuous disclosure",https://sedarplus.ca,,
Industry_Sources,federal,Canada,,NAICS 21/22,Federal Portal,Canadian Energy Information Portal,Administrator,,2,"Energy production data, supply/demand balances",https://energy-information.canada.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Publication,Canada Gazette,Editor,,2,"Regulatory proposals, orders-in-council, statutory instruments",https://gazette.gc.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Portal,Open Government Portal,Administrator,,3,"Open data, federal datasets, proactive disclosure",https://open.canada.ca,,
Industry_Sources,provincial,BC,,All NAICS,Provincial Agency,BC Environmental Assessment Office (BC EAO),Executive Director,,1,"BC major project environmental assessments",https://www.projects.eao.gov.bc.ca,,JSON API available
Industry_Sources,provincial,ON,,All NAICS,Provincial Agency,Ontario Environment Ministry (EA Branch),Director,,2,"Ontario environmental assessments for major projects",https://www.ontario.ca/page/environmental-assessments,,
Industry_Sources,provincial,AB,,All NAICS,Provincial Agency,"Alberta Energy Regulator (AER)",President/CEO,,1,"Alberta oil/gas/pipeline regulation and approvals",https://www.aer.ca,,
Industry_Sources,provincial,AB,,All NAICS,Provincial Agency,Alberta Environmental Protection and Enhancement,Deputy Minister,,2,"Alberta environmental approvals, monitoring",https://www.alberta.ca/environment-and-protected-areas,,Formerly Alberta Environment and Parks
Industry_Sources,provincial,QC,,All NAICS,Provincial Agency,"Bureau d'audiences publiques sur l'environnement (BAPE)",President,,2,"Quebec environmental assessments and public hearings",https://www.bape.gouv.qc.ca,,
Industry_Sources,federal,Canada,,NAICS 21,Federal Agency,Canada-Newfoundland Offshore Petroleum Board (C-NLOPB),CEO,,2,"Offshore oil/gas regulation, NL continental shelf",https://www.cnlopb.ca,,
Industry_Sources,federal,Canada,,NAICS 21,Federal Agency,Canada-Nova Scotia Offshore Petroleum Board (CNSOPB),CEO,,2,"Offshore oil/gas regulation, NS continental shelf",https://www.cnsopb.ns.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Export Development Canada (EDC),President/CEO,,2,"Export financing, trade credit insurance, investment",https://www.edc.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Business Development Bank of Canada (BDC),President/CEO,,2,"SME financing, venture capital, advisory services",https://www.bdc.ca,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Agency,Canada Deposit Insurance Corporation (CDIC),CEO,,3,"Deposit insurance, financial stability backstop",https://www.cdic.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Canada Infrastructure Bank (CIB),CEO,,1,"Co-investment in revenue-generating infrastructure, P3s",https://cib-bic.ca,,
Industry_Sources,federal,Canada,,NAICS 48-49,Federal Agency,Canada Port Authorities (various),CEOs,,2,"Major port operations: Vancouver, Montreal, Halifax, etc.",https://tc.canada.ca/en/marine-transportation/ports,,Multiple entities
Industry_Sources,federal,Canada,,NAICS 21,Federal Agency,National Energy Board Library (archived),Archivist,,3,"Historical energy decisions, now under CER",https://apps.cer-rec.gc.ca/REGDOCS,,Legacy resource
Industry_Sources,federal,Canada,,NAICS 48-49,Federal Crown Corp,VIA Rail Canada,President/CEO,,3,"Passenger rail, High Frequency Rail project",https://www.viarail.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Invest in Canada,CEO,,2,"Foreign direct investment attraction, site selection",https://www.investcanada.ca,,
Industry_Sources,federal,Canada,,NAICS 51,Federal Agency,Communications Security Establishment (CSE),Chief,,3,"Cybersecurity, signals intelligence, critical infrastructure protection",https://www.cse-cst.gc.ca,,
Industry_Sources,federal,Canada,,All NAICS,Federal Agency,Treasury Board of Canada Secretariat (TBS),President,,2,"Government spending oversight, regulatory policy, digital government",https://www.canada.ca/en/treasury-board-secretariat,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Agency,Financial Consumer Agency of Canada (FCAC),Commissioner,,3,"Consumer protection, financial literacy, bank compliance",https://www.canada.ca/en/financial-consumer-agency,,
Industry_Sources,federal,Canada,,NAICS 52,Federal Agency,Financial Transactions and Reports Analysis Centre (FINTRAC),Director,,3,"Anti-money laundering, terrorist financing, financial intelligence",https://www.fintrac-canafe.gc.ca,,
Industry_Sources,provincial,SK,,NAICS 21,Provincial Agency,Saskatchewan Energy Regulator,Executive Director,,2,"Saskatchewan oil/gas regulation",https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/oil-and-gas,,
Industry_Sources,provincial,MB,,All NAICS,Provincial Agency,Manitoba Clean Environment Commission,Chairperson,,3,"Manitoba environmental assessments",https://www.cecmanitoba.ca,,
Industry_Sources,federal,Canada,,NAICS 48-49,Federal Crown Corp,NAV CANADA,President/CEO,,3,"Air navigation services, airspace management",https://www.navcanada.ca,,
Industry_Sources,federal,Canada,,NAICS 48-49,Federal Agency,Canadian Air Transport Security Authority (CATSA),President/CEO,,3,"Airport security screening",https://www.catsa-acsta.gc.ca,,
Industry_Sources,federal,Canada,,NAICS 22,Federal Crown Corp,Atomic Energy of Canada Limited (AECL),President/CEO,,2,"Nuclear laboratories, SMR development, radioactive waste",https://www.aecl.ca,,
Industry_Sources,provincial,ON,,NAICS 22,Provincial Agency,Ontario Energy Board (OEB),CEO,,2,"Ontario electricity/gas rate regulation, market oversight",https://www.oeb.ca,,
Industry_Sources,provincial,AB,,NAICS 22,Provincial Agency,Alberta Utilities Commission (AUC),Chair,,2,"Alberta utilities rate regulation",https://www.auc.ab.ca,,
Industry_Sources,provincial,QC,,NAICS 22,Provincial Crown Corp,Hydro-Quebec,President/CEO,,1,"Quebec electricity generation/transmission, major dam projects",https://www.hydroquebec.com,,Crown corporation
Industry_Sources,provincial,BC,,NAICS 22,Provincial Crown Corp,BC Hydro,President/CEO,,2,"BC electricity, Site C dam, clean energy",https://www.bchydro.com,,Crown corporation
Industry_Sources,provincial,ON,,NAICS 22,Provincial Agency,Independent Electricity System Operator (IESO),President/CEO,,2,"Ontario electricity market operator, system planning",https://www.ieso.ca,,
Public_Figures_Canada,federal,Canada,,Government,Person,Mark Carney,Prime Minister,,1,"Head of government, sets national economic agenda, trade policy with US",https://pm.gc.ca,,Former BoC/BoE Governor
Public_Figures_Canada,federal,Canada,,Finance,Person,Francois-Philippe Champagne,Minister of Finance,,1,"Federal budget, tax policy, fiscal framework, debt management",https://canada.ca/en/department-finance,,
Public_Figures_Canada,federal,Canada,,Trade/Intergovernmental,Person,Dominic LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs",,1,"Federal-provincial relations, interprovincial trade, public safety",https://canada.ca/en/public-safety-canada,,
Public_Figures_Canada,federal,Canada,,Industry,Person,Melanie Joly,Minister of Industry,,1,"Innovation policy, competition, SME support, investment attraction",https://ised-isde.canada.ca,,
Public_Figures_Canada,federal,Canada,,Energy,Person,Tim Hodgson,"Minister of Energy and Natural Resources",,1,"Energy transition, pipelines, mining, LNG exports",https://natural-resources.canada.ca,,
Public_Figures_Canada,federal,Canada,,Transport,Person,Steven MacKinnon,Minister of Transport,,1,"Transportation infrastructure, ports, rail safety, aviation",https://tc.canada.ca,,
